epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,49,,,0.046875,3.0238702297210693,,
0,99,,,0.109375,2.608701705932617,,
0,149,,,0.03125,2.8130359649658203,,
0,199,,,0.015625,2.528048515319824,,
0,249,,,0.109375,2.3244009017944336,,
0,299,,,0.125,2.4254157543182373,,
0,349,,,0.25,2.149059295654297,,
0,399,,,0.09375,2.331620454788208,,
0,449,,,0.1875,2.219068765640259,,
0,499,,,0.171875,2.408869743347168,,
0,549,,,0.140625,2.525106906890869,,
0,599,,,0.109375,2.3961524963378906,,
0,649,,,0.0625,2.393768787384033,,
0,699,,,0.109375,2.2937071323394775,,
0,749,,,0.078125,2.2363710403442383,,
0,799,,,0.140625,2.369682550430298,,
0,849,,,0.1875,2.373457431793213,,
0,859,,,,,0.12219999730587006,2.400829792022705
1,860,0.11320000141859055,2.399292230606079,,,,
